"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"未収運賃","EMGルブリカンツ合同会社","東京都港区港南1-8-15","25285798",""
"未収運賃","(有)初島サービス","有田市千田584-1","15649978",""
"未収運賃","秋山逓送(株)","御坊市薗194","7706939",""
"未収運賃","成川運送(株)","有田市新堂261-1","6489634",""
"未収運賃","三井物産(株)","大阪市北区中之島2-3-33","4732171",""
"未収運賃","ありだ共選","有田市千田194","4302967",""
"未収運賃","(株)CAPスタイル","東京都大田区大森北1丁目11番共和七番館6E","4152860",""
"未収運賃","日本通運(株)","和歌山市西浜796-1","3372820",""
"未収運賃","紀伊商事(株)","和歌山市布施屋905-2","3354056",""
"未収運賃","(株)富士ロジテックホールディングス","静岡市葵区栄町4-10静岡栄町ビル","3334330",""
"未収運賃","アートバンライン(株)","茨木市島3-5-48","3294500",""
"未収運賃","兼松ペトロ(株)","大阪市中央区淡路町3丁目1-9","2778820",""
"未収運賃","大弘建材(株)","和歌山市吹上3丁目4-15","1995004",""
"未収運賃","上神谷梱包高速(株)","堺市西区上707-1","1632400",""
"未収運賃","上山商店(株)","海南市鳥居209","1252441",""
"未収運賃","イズミ運輸(株)","和歌山市湊1342-4","934028",""
"未収運賃","(株)築港","神戸市中央区港島8-7","892100",""
"未収運賃","日本グリース(株)","東京都千代田区岩本町2-2-16","660000",""
"未収運賃","富士興産(株)","海南市藤白759-51","649050",""
"未収運賃","油化産業(株)","大阪市北区堂島2丁目4-27","601788",""
"未収運賃","エネオス(株)和歌山製油所","有田市初島町浜1000","553978",""
"未収運賃","酒井組","有田市古江見149-1","502971",""
"未収運賃","その他","","4117771",""
"小計","","","98246404",""
"未収入金","成川運送(株)","有田市新堂261-1","8700000",""
"小計","","","8700000",""
"計","","","106946404",""
